Sequencig deph,30x_A,30x_B,30x_C,50x_A,50x_B,50x_C,100x_A,100x_B,100x_C,200x_A,200x_B,200x_C
CPU asigned (cores),24,24,24,24,24,24,24,24,24,24,24,24
CPU used (%),60.69,47.95,56.98,54.08,56.99,50.04,54.66,37.99,55.40,49.43,58.27,27.64
Time (HH:MM:SS),00:08:47,00:09:27,00:08:21,00:15:27,00:11:42,00:13:06,00:31:48,00:22:39,00:17:52,00:58:52,00:55:05,01:20:27
Memory asigned (GB),40,40,40,40,40,40,40,40,40,40,40,40
Memory used (GB),2.92,3.14,2.93,4.16,4.06,4.13,7.10,7.12,6.95,13.09,12.42,13.23
