Sequencig deph,30x_A,30x_B,30x_C,50x_A,50x_B,50x_C,100x_A,100x_B,100x_C,200x_A,200x_B,200x_C
CPU asigned (cores),52,52,52,52,52,52,52,52,52,52,52,52
CPU used (%),88.51,61.19,90.28,81.07,74.58,58.65,49.03,38.21,39.60,36.36,65.99,19.40
Time (HH:MM:SS),00:03:54,00:05:02,00:03:51,00:07:03,00:06:56,00:07:58,00:54:44,00:54:03,00:53:58,00:44:54,00:27:54,01:08:32
Memory asigned (GB),40,40,40,40,40,40,40,40,40,40,40,40
Memory used (GB),12.50,11.66,12.56,13.56,12.95,13.07,20.50,20.62,20.56,21.97,22.32,21.79
