Sequencing deph,CPU asigned (cores),CPU used (%),Time (HH:MM:SS),Memory asigned (GB),Memory used (GB)
30x_A,24,57.90,00:07:08,40,2.94
30x_B,24,53.93,00:05:59,40,2.92 
30x_C,24,57.05,00:07:05,40,2.89
50x_A,24,52.81,00:12:00,40,4.17
50x_B,24,58.01,00:13:10,40,4.17
50x_C,24,56.20,00:12:39,40,4.13
100x_A,24,19.16,00:45:31,40,7.37
100x_B,24,56.79,00:23:39,40,6.89
100x_C,24,33.06,00:30:17,40,7.20
200x_A,24,25.57,01:39:29,40,13.60
200x_B,24,22.70,01:28:22,40,13.20
200x_C,24,52.15,00:52:01,40,12.31
